contig	startCore	endCore
k127_10410083_M_bin.8	3	3932
k127_5264117_M_bin.67	4184	8119
k127_612958_S_bin.120	2826	3653
k127_7487089_M_bin.109	3924	4826
k127_14916321_M_bin.12	6931	7812
k127_8537076_M_bin.8	626	1696
k127_14531586_M_bin.66	95	3716
k127_23305902_S_bin.117	4116	5222
k127_5493334_S_bin.74	2	4534
k127_32054254_S_bin.28	8080	10278
k127_38113696_S_bin.56	2734	3342
k127_1493337_M_bin.8	1	7032
k127_24084409_M_bin.100	5832	12638
k127_24084409_M_bin.100	5832	12638
k127_32101288_S_bin.30	17109	20705
k127_2942825_M_bin.111	4120	8454
k127_12936363_S_bin.29	1	684
k127_38690564_S_bin.8	3326	4162
k127_21276781_M_bin.86	593	1720
k127_4227215_M_bin.60	9707	12247
k127_11394960_M_bin.111	1174	4982
k127_16918129_M_bin.9	2	3001
k127_31786668_S_bin.117	11131	12105
k127_22848103_M_bin.8	917	2523
k127_19547487_M_bin.21	12139	12969
k127_21444611_S_bin.28	66293	73348
k127_32221389_S_bin.28	3	2879
k127_24384236_S_bin.9	5811	6290
k127_10280600_M_bin.102	3221	4366
k127_26032337_M_bin.100	3394	5283
k127_28672421_S_bin.80	1031	2029
k127_14933298_S_bin.80	182	580
k127_26383661_S_bin.8	5565	6785
k127_19913960_M_bin.66	872	3391
k127_6523176_M_bin.87	2	4003
k127_6302456_M_bin.9	2	3973
k127_13070271_M_bin.111	2081	3226
k127_12281402_M_bin.44	449	2181
k127_27683385_S_bin.30	20836	24400
k127_6308400_M_bin.8	5636	7857
k127_36267064_S_bin.8	14582	15721
k127_36267064_S_bin.8	5650	9533
k127_7953622_S_bin.74	1085	2254
k127_17687533_S_bin.30	3585	5936
k127_18884052_S_bin.30	14880	15389
k127_3056992_M_bin.105	10601	14524
k127_36102621_S_bin.50	3014	5412
k127_27821001_S_bin.61	8712	10733
k127_16078466_M_bin.77	1382	3587
k127_3219219_M_bin.77	2	9003
k127_22746182_M_bin.105	16212	17342
k127_20219686_M_bin.87	4219	6446
k127_27234148_M_bin.32	1617	3812
k127_13362487_M_bin.111	15398	16030
k127_19167585_S_bin.28	349	3795
k127_20736030_M_bin.32	2872	3753
k127_26500712_M_bin.55	6404	7354
k127_8539368_M_bin.32	823	3420
k127_9013880_M_bin.67	316	2112
k127_37767399_S_bin.80	3	3917
k127_25443563_M_bin.12	1343	3108
k127_411266_M_bin.94	1903	2930
k127_25620701_M_bin.32	4324	11751
k127_25620701_M_bin.32	13199	14002
k127_18913463_M_bin.100	3	2960
k127_2177044_M_bin.60	3432	7565
k127_15572293_M_bin.102	5814	8050
k127_38270724_S_bin.80	2	2950
k127_22375068_M_bin.94	1308	2510
k127_22624915_M_bin.22	5997	7016
k127_10522667_M_bin.47	1707	2552
k127_11349038_M_bin.66	2	2587
k127_27776944_M_bin.77	89579	101184
k127_36336105_S_bin.28	48306	64852
k127_36336105_S_bin.28	48306	60872
k127_14984850_M_bin.111	2137	3267
k127_21447690_M_bin.66	2	4177
k127_34770437_S_bin.28	1	4701
k127_23808480_S_bin.80	3835	6579
k127_16081867_M_bin.32	105	4193
k127_13562023_M_bin.47	908	2062
k127_22512175_S_bin.36	2121	2414
k127_13273213_S_bin.29	7499	8494
k127_4603082_M_bin.66	3	4733
k127_4603082_M_bin.66	3	4733
k127_26927097_M_bin.12	1709	9178
k127_8516650_M_bin.102	14748	19322
k127_8516650_M_bin.102	7876	14484
k127_27193706_M_bin.44	5104	6963
k127_30414836_S_bin.27	5153	7120
k127_34284438_S_bin.29	5009	6136
k127_21481200_M_bin.94	1544	4203
k127_19290934_M_bin.100	358	1551
k127_9712611_S_bin.28	1	3882
k127_13668998_M_bin.77	3	3425
k127_9240135_S_bin.28	2	9415
k127_25524303_M_bin.52	6738	10664
k127_8241861_M_bin.67	1642	9929
k127_29823166_S_bin.56	3717	4772
k127_7212086_M_bin.87	10763	11386
k127_9430720_M_bin.32	822	1892
k127_21485863_M_bin.102	3448	4122
k127_4957287_M_bin.32	2	3537
k127_40375156_S_bin.28	3166	3930
k127_40375156_S_bin.28	3	3164
k127_26613404_M_bin.44	3712	4347
k127_10624019_M_bin.1	2725	3891
k127_11299331_M_bin.87	1887	2498
k127_27091081_M_bin.52	1355	6424
k127_15165676_S_bin.9	1884	3104
k127_39034543_S_bin.27	9928	11656
k127_22196915_S_bin.28	2	2716
k127_10007386_M_bin.111	1607	3843
k127_35179849_S_bin.80	791	1783
k127_7260464_M_bin.109	1583	2752
k127_14253723_S_bin.27	3	4940
k127_39778434_S_bin.61	3895	7552
k127_37601404_S_bin.50	4955	9006
k127_4731131_M_bin.66	7282	9010
k127_15852510_S_bin.28	1	2742
k127_17718735_S_bin.61	5218	6508
k127_2653851_M_bin.52	10504	11580
k127_10082029_M_bin.105	208	3348
k127_27204362_S_bin.30	21259	23172
k127_15583247_M_bin.32	3	5687
k127_903402_S_bin.9	7677	8513
k127_4485730_M_bin.1	10717	11124
k127_30023566_S_bin.61	2985	5154
k127_39877298_S_bin.28	2992	6591
k127_2745460_M_bin.9	1009	2223
k127_21283691_M_bin.102	1	261
k127_6281136_M_bin.9	2135	2977
k127_25506700_M_bin.44	1086	4304
k127_17912597_M_bin.8	1781	22741
k127_22974252_M_bin.12	3486	6665
k127_4719246_M_bin.35	3	2954
k127_25911180_S_bin.28	3	3668
k127_15064906_S_bin.27	11707	12927
k127_4284923_S_bin.28	18571	22847
k127_4269423_M_bin.8	918	2006
