plantbin	annotation	completeness	contamination
S30	 'f__Enterobacteriaceae'	99.6039604	0.672094682
S28	 'o__Pseudomonadales'	97.56567004	1.867672022
S2	 'k__Bacteria'	96.20689655	31.26959248
S22	 'o__Rhizobiales'	91.7285588	94.40184337
S8	 'o__Flavobacteriales'	91.7224476	1.732589588
S31	 'k__Bacteria'	87.77429467	35.31347962
S61	 'o__Burkholderiales'	84.00411342	2.523240372
S87	 'k__Bacteria'	80.42319749	43.60501567
S25	 'k__Bacteria'	77.85266458	84.98432602
S117	 'o__Sphingomonadales'	75.80062245	7.190323228
S29	 'o__Actinomycetales'	75.29865125	2.793834297
S9	 'o__Flavobacteriales'	75.20927911	2.818627451
S27	 'o__Burkholderiales'	75.18663774	6.370716511
S54	 'k__Bacteria'	70.68965517	48.16091954
S49	 'k__Bacteria'	69.35672515	57.89473684
S57	 'k__Bacteria'	68.96551724	31.03448276
S121	 'k__Bacteria'	68.93416928	12.53918495
S71	 'o__Sphingomonadales'	68.21192827	7.153421095
S123	 'o__Rhizobiales'	63.691067	29.95967742
S50	 'o__Sphingomonadales'	62.03341674	9.629086923
S80	 'k__Bacteria'	60.94043887	5.893416928
S56	 'k__Bacteria'	59.98432602	8.620689655
S85	 'f__Rhizobiaceae'	57.81416637	11.51881735
S84	 'k__Archaea'	56.08075725	128.726336
S34	 'k__Bacteria'	55.21943574	22.45559039
S3	 'o__Sphingomonadales'	55.08218532	10.63345475
S120	 'p__Bacteroidetes'	54.94417863	1.770334928
S74	 'o__Pseudomonadales'	54.27936241	0.606060606
S76	 'k__Bacteria'	52.3923445	15.78947368
S36	 'k__Bacteria'	50.1754386	7.894736842
S114	 'o__Actinomycetales'	47.2353812	18.58746607
S51	 'o__Pseudomonadales'	47.21097257	1.015768243
S91	 'p__Bacteroidetes'	47.04232804	1.19047619
S62	 'k__Bacteria'	44.20062696	12.75862069
S33	 'o__Burkholderiales'	43.60758789	2.803738318
S100	 'p__Bacteroidetes'	43.06349206	1.031746032
S104	 'k__Bacteria'	42.87356322	0.862068966
S26	 'k__Bacteria'	42.61755486	9.717868339
S75	 'k__Bacteria'	42.45614035	10.52631579
S21	 'k__Bacteria'	41.72413793	6.034482759
S47	 'o__Actinomycetales'	40.06253006	0.673400673
S24	 'p__Bacteroidetes'	39.95746943	0
S90	 'k__Bacteria'	39.65517241	7.471264368
S48	 'k__Bacteria'	38.79310345	0
S69	 'k__Bacteria'	36.67711599	0
S73	 'k__Archaea'	36.01126288	7.296908699
S96	 'k__Bacteria'	35.05747126	0
S53	 'k__Archaea'	33.81859573	4.109753175
S77	 'k__Bacteria'	32.61562998	0
S99	 'k__Bacteria'	31.33971292	7.894736842
S16	 'k__Bacteria'	30.34482759	1.724137931
S63	 'k__Bacteria'	30.14106583	3.448275862
S108	 'k__Bacteria'	29.13793103	0
S43	 'k__Bacteria'	27.75862069	6.896551724
S113	 'c__Alphaproteobacteria'	26.01055807	1.206636501
S37	 'o__Sphingomonadales'	24.97480904	3.005038193
S11	 'o__Pseudomonadales'	20.73421374	0.470779221
S79	 'k__Bacteria'	20.68965517	1.724137931
S64	 'k__Bacteria'	19.77961433	2.58953168
S94	 'k__Bacteria'	18.12865497	0
S66	 'k__Bacteria'	18.10344828	0
S72	 'k__Bacteria'	18.10344828	1.724137931
S42	 'k__Bacteria'	18.04597701	0.940438871
S46	 'o__Sphingomonadales'	17.42230867	2.389078498
S38	 'k__Bacteria'	17.24137931	0
S40	 'k__Bacteria'	15.13584117	1.018808777
S97	 'k__Bacteria'	14.65517241	0
S81	 'o__Burkholderiales'	14.19064935	0.34
S1	 'k__Bacteria'	12.28070175	1.754385965
S55	 'k__Bacteria'	11.20689655	0
S58	 'k__Archaea'	11.03522646	0
S116	 'k__Archaea'	10.6997364	1.222142344
S118	 'k__Bacteria'	10.52631579	0
S119	 'k__Bacteria'	10.34482759	0
S59	 'k__Bacteria'	10.34482759	0.862068966
S126	 'k__Bacteria'	8.771929825	0
S32	 'k__Bacteria'	8.620689655	0
S41	 'k__Bacteria'	8.620689655	0
S98	 'k__Bacteria'	8.620689655	0
S13	 'k__Bacteria'	6.896551724	0
S52	 'k__Bacteria'	4.832535885	0
S127	 'root'	4.166666667	0
S15	 'root'	4.166666667	0
S45	 'k__Bacteria'	4.093567251	0
S23	 'root'	2.083333333	0
S92	 'k__Archaea'	2.048885694	0.682961898
S35	 'k__Bacteria'	1.593521421	0
S18	 'k__Bacteria'	1.175548589	0
S60	 'k__Bacteria'	0.156739812	0
S107	 'root'	0	0
S109	 'root'	0	0
S111	 'root'	0	0
S110	 'root'	0	0
S112	 'root'	0	0
S106	 'root'	0	0
S103	 'root'	0	0
S105	 'root'	0	0
S115	 'root'	0	0
S10	 'root'	0	0
S101	 'root'	0	0
S102	 'root'	0	0
S12	 'root'	0	0
S122	 'root'	0	0
S125	 'root'	0	0
S124	 'root'	0	0
S14	 'root'	0	0
S17	 'root'	0	0
S19	 'root'	0	0
S20	 'root'	0	0
S39	 'root'	0	0
S4	 'root'	0	0
S44	 'root'	0	0
S5	 'root'	0	0
S6	 'root'	0	0
S65	 'root'	0	0
S67	 'root'	0	0
S68	 'root'	0	0
S7	 'root'	0	0
S70	 'root'	0	0
S78	 'root'	0	0
S82	 'root'	0	0
S83	 'root'	0	0
S86	 'root'	0	0
S88	 'root'	0	0
S89	 'root'	0	0
S93	 'root'	0	0
S95	 'root'	0	0
M77	 'o__Burkholderiales'	98.76559715	3.093434343
