	Plant	Location	Year	State	Year-State	Internal Name	Proposal ID	Principal Investigator 	Final Deliverable Project ID	Final Deliverable Project Name	Final Deliverable Product Name	Final Deliverable Status	Sequencing Project ID	Sequencing Project Name	Planned Sequencing Product	Actual Sequencing Product	Sequencing Project Status _	SP Visibility	Project Visible?	Portal Visible?	Bioproject ID	Biosample ID	NCBI SRA Accession ID	Sample Isolation Method	Sample Isolated From	Sample Collection Site / Growth Conditions	Sample ID	Sample Name	Sample Tube/Plate Label	Sample QC Type	Sample QC Status	Library Creation Specs	Actual Library Creation Queue	SOW Item ID	SOW Item Status	Current Material Location	Library QC Status	Library Name 	RQC Seq Unit Name	RQC Seq Unit State
X10703.1.175182.ACAGTG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111851	KB3-0-1	Metagenome Annotated Standard Draft	Complete	1111867	KB3-0-1	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406038	SAMN07631247	SRP120248	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS deficient N	117891	KB3-0-1	KBS_MetaN_1	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164754	Complete	Segment QC: Completed	Pass	BBTPN	10703.1.175182.ACAGTG.fastq.gz	
X10703.2.175184.GCCAAT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111853	KB3-0-2	Metagenome Annotated Standard Draft	Complete	1111868	KB3-0-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406039	SAMN07631248	SRP120252	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS deficient N	117892	KB3-0-2	KBS_MetaN_2	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164755	Complete	Segment QC: Completed	Pass	BBTPO	10703.2.175184.GCCAAT.fastq.gz	
X10703.3.175186.CAGATC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111855	KB3-0-3	Metagenome Annotated Standard Draft	Complete	1111869	KB3-0-3	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406040	SAMN07631249	SRP120257	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS deficient N	117893	KB3-0-3	KBS_MetaN_3	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164756	Complete	Segment QC: Completed	Pass	BBTPP	10703.3.175186.CAGATC.fastq.gz	
X10703.4.175188.ACTTGA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111857	KB3-0-4	Metagenome Annotated Standard Draft	Complete	1111870	KB3-0-4	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406041	SAMN07631250	SRP120254	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS deficient N	117894	KB3-0-4	KBS_MetaN_4	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164757	Complete	Segment QC: Completed	Pass	BBTPS	10703.4.175188.ACTTGA.fastq.gz	
X10703.5.175190.GATCAG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111859	KB3-175-1	Metagenome Annotated Standard Draft	Complete	1111871	KB3-175-1	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406042	SAMN07631251	SRP120253	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS excess N	117895	KB3-175-1	KBS_MetaN_5	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164758	Complete	Segment QC: Completed	Pass	BBTPT	10703.5.175190.GATCAG.fastq.gz	
X10703.6.175192.TAGCTT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111861	KB3-175-2	Metagenome Annotated Standard Draft	Complete	1111872	KB3-175-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406043	SAMN07631252	SRP120258	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS excess N	117896	KB3-175-2	KBS_MetaN_6	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164759	Complete	Segment QC: Completed	Pass	BBTPU	10703.6.175192.TAGCTT.fastq.gz	
X10703.7.175194.GGCTAC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111863	KB3-175-3	Metagenome Annotated Standard Draft	Complete	1111873	KB3-175-3	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406044	SAMN07631253	SRP120261	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS excess N	117897	KB3-175-3	KBS_MetaN_7	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164760	Complete	Segment QC: Completed	Pass	BBTPW	10703.7.175194.GGCTAC.fastq.gz	
X10703.8.175196.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2015	MI	2015-MI	MetaN	503061	"Tiedje, James"	1111865	KB3-175-4	Metagenome Annotated Standard Draft	Complete	1111874	KB3-175-4	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA406045	SAMN07631254	SRP120262	PowerSoil¨ DNA Isolation Kit (MOBIO)	both Bulk and Rhizosphere soil	KBS excess N	117898	KB3-175-4	KBS_MetaN_8	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	164761	Complete	Segment QC: Completed	Pass	BBTPX	10703.8.175196.CTTGTA.fastq.gz	
X6908.5.57555.CTTGTA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018622	KBS Miscanthus M7 with PhiX	Metagenome Annotated Standard Draft	Complete	1018623	KBS Miscanthus M7 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA366179	SAMN06268412	SRP099291	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Miscanthus	33988	M7	M7			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33254	Complete	RQC: Complete	Passed	PTNB	6908.5.57555.CTTGTA.srf	
X6908.5.57555.TAGCTT.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2012	MI	2012-MI	TG	1296	"Tiedje, James"	1018628	KBS Switchgrass S5 with PhiX	Metagenome Annotated Standard Draft	Complete	1018629	KBS Switchgrass S5 with PhiX	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA330360	SAMN05421996	SRP080390	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere Soil	Field cultivated with Switchgrass	33990	S5	S5			"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	33256	Complete	RQC: Complete	Passed	PTNA	6908.5.57555.GGCTAC.srf	
